AirportName,DateValue,OnTimePerCent,TotalArrivals
"San Francisco, CA: San Francisco International",1/1/12,72.94768177,13437
"San Francisco, CA: San Francisco International",2/1/12,80.38371634,12663
"San Francisco, CA: San Francisco International",3/1/12,67.47003626,14067
"San Francisco, CA: San Francisco International",4/1/12,76.20412844,13952
"San Francisco, CA: San Francisco International",5/1/12,75.89977852,14448
"San Francisco, CA: San Francisco International",6/1/12,68.17975497,14937
"San Francisco, CA: San Francisco International",7/1/12,66.35484692,15711
"San Francisco, CA: San Francisco International",8/1/12,68.01966149,15716
"San Francisco, CA: San Francisco International",9/1/12,66.59609419,14184
"San Francisco, CA: San Francisco International",10/1/12,63.58742207,14756
"San Francisco, CA: San Francisco International",11/1/12,72.00439722,13645
"San Francisco, CA: San Francisco International",12/1/12,63.89343847,13823
"San Francisco, CA: San Francisco International",1/1/13,82.20077191,13214
"San Francisco, CA: San Francisco International",2/1/13,81.46524198,12026
"San Francisco, CA: San Francisco International",3/1/13,76.45447336,13871
"San Francisco, CA: San Francisco International",4/1/13,71.6220926,13715
"San Francisco, CA: San Francisco International",5/1/13,75.35678322,14300
"San Francisco, CA: San Francisco International",6/1/13,62.85895179,14768
"San Francisco, CA: San Francisco International",7/1/13,56.58710473,15401
"San Francisco, CA: San Francisco International",8/1/13,62.61144851,15478
"San Francisco, CA: San Francisco International",9/1/13,73.36553262,13903
"San Francisco, CA: San Francisco International",10/1/13,78.50989857,14295
"San Francisco, CA: San Francisco International",11/1/13,80.95417262,13289
"San Francisco, CA: San Francisco International",12/1/13,75.26967919,13809
"San Francisco, CA: San Francisco International",1/1/14,71.34212276,13539
"San Francisco, CA: San Francisco International",2/1/14,56.30328615,12081
"San Francisco, CA: San Francisco International",3/1/14,73.73270259,13846
"San Francisco, CA: San Francisco International",4/1/14,77.24617737,13734
"San Francisco, CA: San Francisco International",5/1/14,72.11938718,14164
"San Francisco, CA: San Francisco International",6/1/14,64.65370164,14372
"San Francisco, CA: San Francisco International",7/1/14,68.01524982,14951
"San Francisco, CA: San Francisco International",8/1/14,73.02600569,14766
"San Francisco, CA: San Francisco International",9/1/14,73.72929133,13871
"San Francisco, CA: San Francisco International",10/1/14,75.36752019,14489
"San Francisco, CA: San Francisco International",11/1/14,70.77701427,13243
"San Francisco, CA: San Francisco International",12/1/14,52.02863962,13827
"San Francisco, CA: San Francisco International",1/1/15,75.21578825,12883
"San Francisco, CA: San Francisco International",2/1/15,71.13829511,11555
"San Francisco, CA: San Francisco International",3/1/15,80.39587521,13431
"San Francisco, CA: San Francisco International",4/1/15,79.75443719,13015
"San Francisco, CA: San Francisco International",5/1/15,71.06508876,13520
"San Francisco, CA: San Francisco International",6/1/15,75.26018492,13844
"San Francisco, CA: San Francisco International",7/1/15,73.0098372,14435
"San Francisco, CA: San Francisco International",8/1/15,77.19281068,14605
"San Francisco, CA: San Francisco International",9/1/15,84.96027932,13318
"San Francisco, CA: San Francisco International",10/1/15,84.5942837,14170
"San Francisco, CA: San Francisco International",11/1/15,83.04125083,13527
"San Francisco, CA: San Francisco International",12/1/15,64.69326972,13833
"Phoenix, AZ: Phoenix Sky Harbor International",1/1/12,76.03129473,15370
"Phoenix, AZ: Phoenix Sky Harbor International",2/1/12,89.1814014,14614
"Phoenix, AZ: Phoenix Sky Harbor International",3/1/12,89.29066474,16593
"Phoenix, AZ: Phoenix Sky Harbor International",4/1/12,89.99091846,15526
"Phoenix, AZ: Phoenix Sky Harbor International",5/1/12,89.18307624,15753
"Phoenix, AZ: Phoenix Sky Harbor International",6/1/12,87.21188384,15702
"Phoenix, AZ: Phoenix Sky Harbor International",7/1/12,83.90777847,16070
"Phoenix, AZ: Phoenix Sky Harbor International",8/1/12,86.2704251,15361
"Phoenix, AZ: Phoenix Sky Harbor International",9/1/12,89.31419766,13953
"Phoenix, AZ: Phoenix Sky Harbor International",10/1/12,86.36997517,14901
"Phoenix, AZ: Phoenix Sky Harbor International",11/1/12,90.8769659,14370
"Phoenix, AZ: Phoenix Sky Harbor International",12/1/12,80.51440883,14852
"Phoenix, AZ: Phoenix Sky Harbor International",1/1/13,86.6804903,14685
"Phoenix, AZ: Phoenix Sky Harbor International",2/1/13,87.93951132,13424
